Prod_ID,Item_Name,Category,Brand,MRP,Vendor,Launch_Date,Created_On,Updated_On
PB1001,Harpic Toilet Cleaner 2L,Household,Harpic,54.0,FreshMart Suppliers,2022-10-08,2024-11-15,2024-12-13
PB1002,Amul Butter 340ml,Dairy,Amul,463.0,Prime FMCG Supply,2024-03-06,2023-07-06,2024-01-26
PB1003,Safal Green Peas 2L,FROZEN FOODS,Safal,470.5,FastMove Logistics,2022-01-04,2023-11-27,2025-03-12
PB1004,Coca-Cola Bottle 500 g,Beverages,Coca-Cola,26.5,FreshMart Suppliers,2024-01-20,2024-12-06,2024-10-31
PB1005,Dove Soap 5kg,Personal Care,Dove,268.0,National Wholesale,2024-06-11,2023-08-08,2024-10-03
PB1006,Britannia Cheese 400g,Dairy,Britannia,126.0,Prime FMCG Supply,2021-05-14,2023-09-28,2024-12-04
PB1007,Aashirvaad Atta 2L,Staples,Aashirvaad,104.0,FastMove Logistics,2022-03-16,2023-08-29,2024-05-19
PB1008,Sunsilk Shampoo 2L,Personal Care,Sunsilk,449.5,ABC Distributors,2021-04-27,2025-05-02,2024-08-03
PB1009,Safal Green Peas 5kg,Frozen Foods,Safal,39.0,FastMove Logistics,2020-04-14,2024-11-29,2024-10-01
PB1010,Aashirvaad Atta 400g,Staples,Aashirvaad,622.5,FreshMart Suppliers,2023-06-24,2024-01-06,2024-04-22
PB1011,Vim Dishwash Gel 200 gm,Household,Vim,325.0,FreshMart Suppliers,2020-10-09,2024-04-09,2024-01-02
PB1012,McCain French Fries 340ml,FROZEN FOODS,McCain,357.5,ABC Distributors,2021-07-27,2025-04-21,2024-01-17
PB1013,Parle Monaco 250ml,Snacks,Parle,489.0,FastMove Logistics,2023-02-03,2023-06-16,2024-07-08
PB1014,Tata Sampann Toor Dal 200 gm,Staples,Tata Sampann,608.0,Prime FMCG Supply,2019-06-12,2024-09-26,2024-02-11
PB1015,Dabur Chyawanprash 100 gm,HEALTH & WELLNESS,Dabur,28.5,National Wholesale,2020-06-19,2024-10-14,2024-05-14
PB1016,Colgate Toothpaste 2L,Personal Care,Colgate,477.0,FastMove Logistics,2021-05-25,2024-06-07,2024-08-30
PB1017,Johnson's Baby Soap 40g,Baby Care,Johnson's,37.5,Retail Connect,2022-03-10,2024-04-25,2024-09-02
PB1018,Himalaya Baby Lotion 80g,Baby Care,Himalaya,418.5,FreshMart Suppliers,2020-09-15,2024-05-22,2024-01-19
PB1019,McCain French Fries 500ml,Frozen Foods,McCain,466.5,ABC Distributors,2022-09-14,2024-09-30,2024-06-09
PB1020,Himalaya Baby Lotion 500 g,Baby Care,Himalaya,470.0,Prime FMCG Supply,2024-11-07,2024-10-28,2024-05-18
PB1021,Safal Green Peas 100 gm,Frozen Foods,Safal,594.5,,2020-05-12,2024-04-12,2024-03-09
PB1022,Lux Soap 340ml,Personal Care,Lux,132.5,Prime FMCG Supply,2022-09-12,2024-02-26,2024-12-21
PB1023,Parle Monaco 500ml,Snacks,Parle,458.5,FreshMart Suppliers,2024-03-27,2025-06-03,2025-01-08
PB1024,Bingo Mad Angles 5kg,Snacks,Bingo,340.5,FastMove Logistics,2023-07-31,2023-12-01,2024-07-25
PB1025,Fortune Sunflower Oil 500ml,STAPLES,Fortune,823.5,Retail Connect,2023-07-23,2024-09-27,2025-01-18
PB1026,Nescafe Coffee 1 KG,Beverages,Nescafe,827.5,FreshMart Suppliers,2023-07-26,2023-07-14,2024-02-18
PB1027,Horlicks Classic 340ml,Health & Wellness,Horlicks,406.5,FreshMart Suppliers,2024-10-20,2024-04-07,2024-03-02
PB1028,Dabur Chyawanprash 2L,Health & Wellness,Dabur,274.5,,2020-08-15,2024-01-28,2024-04-07
PB1029,Fortune Atta 180ml,STAPLES,Fortune,417.0,Prime FMCG Supply,2023-08-10,2023-02-14,2024-06-11
PB1030,Fortune Atta 1L,Staples,Fortune,522.5,FreshMart Suppliers,2021-05-25,2025-06-04,2024-07-24
PB1031,Vim Home Care 500g,Home Care,Vim,134.99,Shree Traders,2022-11-30,2022-12-23,2023-06-22
PB1032,Bru Beverage 200g,Beverages,Bru,110.79,Prime Wholesale,2024-12-29,2025-02-13,2025-06-18
PB1033,Lizol Home Care 250g,Home Care,Lizol,467.5,Om Enterprises,2023-03-26,2023-05-08,2023-10-21
PB1034,Amul Dairy 100g,Dairy,Amul,59.75,RK Agencies,2023-10-09,2023-11-03,2024-03-19
PB1035,Aashirvaad Staple 1kg,Staples,Aashirvaad,265.9,Shree Traders,2024-03-21,2024-05-16,2025-04-10
PB1036,Lay's Snack 250g,Snacks,Lay's,249.93,RK Agencies,2025-01-08,2025-01-24,2025-11-19
PB1037,Britannia Biscuit 200g,Biscuits,Britannia,72.73,ABC Distributors,2022-10-11,2022-11-12,2023-07-22
PB1038,Tata Tea Beverage 200g,Beverages,Tata Tea,227.0,RK Agencies,2024-05-14,2024-06-21,2024-07-23
PB1039,Nestle Chocolate 250g,Chocolates,Nestle,382.9,RK Agencies,2022-01-24,2022-03-08,2022-05-05
PB1040,Lizol Home Care 500g,Home Care,Lizol,108.03,ABC Distributors,2022-08-17,2022-09-04,2023-04-14
PB1041,Lizol Home Care 200g,Home Care,Lizol,482.02,Shree Traders,2024-11-05,2025-01-02,2025-02-25
PB1042,McCain Frozen Food 200g,FROZEN FOODS,McCain,308.17,Om Enterprises,2024-02-05,2024-03-24,2024-06-14
PB1043,McCain Frozen Food 250g,Frozen Foods,McCain,83.73,Shree Traders,2023-10-26,2023-11-26,2023-12-05
PB1044,Surf Excel Home Care 100g,Home Care,Surf Excel,522.15,ABC Distributors,2023-05-09,2023-07-04,2024-04-19
PB1045,Cadbury Chocolate 250g,Chocolates,Cadbury,274.52,RK Agencies,2022-09-15,2022-09-23,2023-08-26
PB1046,Bingo Snack 250g,Snacks,Bingo,421.51,Global FMCG,2024-05-16,2024-05-29,2025-03-01
PB1047,Nivea Personal Care 1kg,Personal Care,Nivea,262.03,,2024-02-04,2024-03-03,2024-11-22
PB1048,Dove Personal Care 500g,Personal Care,Dove,145.81,Metro Supplies,2022-02-13,2022-03-22,2022-12-30
PB1049,Amul Dairy 100g,Dairy,Amul,476.31,ABC Distributors,2023-04-14,2023-04-18,2023-05-04
PB1050,McCain Frozen Food 500g,Frozen Foods,McCain,94.46,RK Agencies,2024-09-21,2024-10-04,2025-07-07
PB1051,Cadbury Chocolate 1kg,Chocolates,Cadbury,75.89,Prime Wholesale,2024-04-13,2024-04-25,2024-06-12
PB1052,Fortune Staple 1kg,Staples,Fortune,378.52,Global FMCG,2024-08-14,2024-10-08,2024-11-04
PB1053,Tata Tea Beverage 1kg,Beverages,Tata Tea,155.54,Metro Supplies,2023-11-26,2024-01-16,2024-03-11
PB1054,McCain Frozen Food 200g,Frozen Foods,McCain,267.88,Om Enterprises,2024-05-14,2024-05-25,2024-10-14
PB1055,Nescafe Beverage 250g,Beverages,Nescafe,549.62,,2022-07-20,2022-07-23,2023-06-21
PB1056,Amul Dairy 200g,DAIRY,Amul,277.71,Om Enterprises,2022-12-07,2023-01-02,2023-09-07
PB1057,Parle Biscuit 200g,Biscuits,Parle,164.23,Om Enterprises,2024-02-16,2024-02-16,2024-09-02
PB1058,Nestle Chocolate 1kg,Chocolates,Nestle,106.27,Shree Traders,2025-02-12,2025-03-26,2025-11-30
PB1059,Dove Personal Care 250g,Personal Care,Dove,55.01,RK Agencies,2025-01-15,2025-01-18,2025-06-27
PB1060,Cadbury Chocolate 100g,CHOCOLATES,Cadbury,60.97,,2024-11-06,2024-11-11,2025-02-14
PB1061,Pears Personal Care 100g,Personal Care,Pears,337.12,RK Agencies,2025-03-12,2025-03-27,2026-01-17
PB1062,Nescafe Beverage 250g,Beverages,Nescafe,515.72,Metro Supplies,2025-03-03,2025-04-05,2025-09-13
PB1063,Aashirvaad Staple 500g,Staples,Aashirvaad,363.89,Prime Wholesale,2024-03-21,2024-03-29,2025-03-07
PB1064,Aashirvaad Staple 100g,Staples,Aashirvaad,547.95,ABC Distributors,2024-07-27,2024-09-04,2025-06-19
PB1065,McCain Frozen Food 250g,Frozen Foods,McCain,487.45,Metro Supplies,2023-06-28,2023-07-06,2023-12-31
PB1066,Fortune Staple 200g,Staples,Fortune,394.36,RK Agencies,2024-06-16,2024-08-08,2025-05-13
PB1067,McCain Frozen Food 250g,Frozen Foods,McCain,79.38,Metro Supplies,2023-09-06,2023-11-04,2024-10-08
PB1068,Surf Excel Home Care 100g,Home Care,Surf Excel,172.92,Metro Supplies,2025-02-07,2025-02-16,2025-07-05
PB1069,Aashirvaad Staple 500g,Staples,Aashirvaad,500.3,Om Enterprises,2024-11-01,2024-12-02,2025-04-09
PB1070,Amul Dairy 1kg,Dairy,Amul,200.12,Metro Supplies,2023-07-21,2023-07-23,2023-07-24
PB1071,Surf Excel Home Care 1kg,Home Care,Surf Excel,319.48,ABC Distributors,2025-02-03,2025-03-20,2025-10-24
PB1072,Bru Beverage 200g,Beverages,Bru,330.82,Metro Supplies,2025-01-22,2025-01-24,2025-08-01
PB1073,Parle Biscuit 100g,Biscuits,Parle,496.94,Metro Supplies,2023-09-24,2023-10-17,2023-11-06
PB1074,Dove Personal Care 500g,Personal Care,Dove,536.26,Global FMCG,2025-02-20,2025-04-17,2025-11-11
PB1075,Lay's Snack 200g,SNACKS,Lay's,38.01,Global FMCG,2022-12-29,2023-02-23,2023-09-22
PB1076,Fortune Staple 200g,Staples,Fortune,81.75,Om Enterprises,2023-07-01,2023-07-11,2024-07-04
PB1077,Mother Dairy Dairy 200g,Dairy,Mother Dairy,208.57,Om Enterprises,2023-02-13,2023-04-06,2023-11-27
PB1078,Lux Personal Care 100g,Personal Care,Lux,171.27,,2023-01-31,2023-02-25,2023-08-12
PB1079,Vim Home Care 250g,Home Care,Vim,198.85,ABC Distributors,2024-03-29,2024-05-11,2025-02-09
PB1080,Nescafe Beverage 200g,Beverages,Nescafe,81.91,Prime Wholesale,2025-04-04,2025-04-20,2025-05-09
PB1081,Fortune Staple 1kg,Staples,Fortune,497.24,Metro Supplies,2024-11-13,2024-11-20,2025-06-05
PB1082,Surf Excel Home Care 1kg,Home Care,Surf Excel,385.6,Global FMCG,2022-01-04,2022-02-06,2022-11-08
PB1083,Nivea Personal Care 1kg,Personal Care,Nivea,508.4,RK Agencies,2022-05-24,2022-07-23,2023-06-28
