Product_ID,Product_Name,Category,Brand,Supplier,Unit_Price,Launch_Date
P1007,Surf Excel Easy Wash 400g,Household,Surf Excel,Retail Connect,495.0,2020-05-26
P1018,Nescafe Coffee 180ml,Beverages,Nescafe,FreshMart Suppliers,90.0,2023-04-13
P1044,Horlicks Classic 180ml,Health & Wellness,Horlicks,Retail Connect,603.0,2022-07-19
P1050,Haldiram Bhujia 500g,Snacks,Haldiram,National Wholesale,303.0,2021-05-12
P1073,Tata Sampann Toor Dal 180ml,Staples,Tata Sampann,ABC Distributors,811.0,2024-02-09
P1099,Fortune Sunflower Oil 250ml,Staples,Fortune,,486.0,2024-03-18
P1117,Johnson's Baby Oil 100g,Baby Care,Johnson's,National Wholesale,262.0,2022-03-04
P1122,Amul Butter 1kg,Dairy,Amul,Retail Connect,715.0,2019-03-26
P1131,Nescafe Coffee 80g,Beverages,Nescafe,National Wholesale,758.0,2024-09-15
P1134,Surf Excel Easy Wash 250ml,Household,Surf Excel,National Wholesale,768.0,2024-06-28
P1150,Coca-Cola Bottle 80g,Beverages,Coca-cola,FastMove Logistics,667.0,2019-06-11
P1008,Safal Green Peas 40g,Frozen Foods,Safal,Retail Connect,668.0,2023-01-21
P1012,Pepsi Bottle 500g,Beverages,Pepsi,FreshMart Suppliers,498.0,2022-01-10
P1020,Vim Dishwash Gel 200g,Household,Vim,FreshMart Suppliers,325.0,2020-10-09
P1063,Surf Excel Matic 180ml,Household,Surf Excel,ABC Distributors,296.0,2020-03-20
P1082,Sunsilk Shampoo 2L,Personal Care,Sunsilk,ABC Distributors,450.0,2021-04-27
P1093,Lay's Magic Masala 250ml,Snacks,Lay's,Retail Connect,135.0,2019-04-16
P1119,Tropicana Orange Juice 40g,Beverages,Tropicana,ABC Distributors,170.0,2019-09-02
P1126,Lux Soap 500ml,Personal Care,Lux,FreshMart Suppliers,143.0,2024-10-08
P1139,Parle Monaco 750g,Snacks,Parle,National Wholesale,296.0,2023-06-17
P1023,Colgate Toothpaste 100g,Personal Care,Colgate,National Wholesale,139.0,2022-06-13
P1028,Fortune Atta 200g,Staples,Fortune,ABC Distributors,371.0,2021-07-31
P1055,Amul Paneer 500ml,Dairy,Amul,ABC Distributors,840.0,2023-01-05
P1061,Tata Sampann Toor Dal 500ml,Staples,Tata Sampann,ABC Distributors,310.0,2022-02-17
P1086,Johnson's Baby Soap 180ml,Baby Care,Johnson's,ABC Distributors,571.0,2023-06-02
P1100,Johnson's Baby Oil 500g,Baby Care,Johnson's,Prime FMCG Supply,524.0,2022-12-24
P1103,Johnson's Baby Oil 750g,Baby Care,Johnson's,ABC Distributors,42.0,2022-04-20
P1120,Vim Dishwash Gel 2L,Household,Vim,FreshMart Suppliers,152.0,2022-05-30
P1129,Johnson's Baby Soap 100g,Baby Care,Johnson's,Retail Connect,670.0,2021-09-07
P1004,Safal Green Peas 1kg,Frozen Foods,Safal,Retail Connect,484.0,2022-02-13
P1016,Aashirvaad Atta 400g,Staples,Aashirvaad,FreshMart Suppliers,623.0,2023-06-24
P1021,Surf Excel Matic 5kg,Household,Surf Excel,FastMove Logistics,133.0,2022-05-07
P1049,Safal Green Peas 80g,Frozen Foods,Safal,ABC Distributors,704.0,2020-07-04
P1096,Dove Soap 40g,Personal Care,Dove,FreshMart Suppliers,455.0,2020-03-08
P1108,Safal Green Peas 200g,Frozen Foods,Safal,National Wholesale,223.0,2021-07-20
P1116,Coca-Cola Bottle 500g,Beverages,Coca-cola,FreshMart Suppliers,27.0,2024-01-20
P1133,Bingo Mad Angles 750g,Snacks,Bingo,FreshMart Suppliers,833.0,2022-10-24
P1143,Colgate Toothpaste 500g,Personal Care,Colgate,Retail Connect,275.0,2023-08-15
P1011,Dove Shampoo 340ml,Personal Care,Dove,FastMove Logistics,298.0,2019-10-20
P1013,McCain French Fries 340ml,Frozen Foods,Mccain,ABC Distributors,357.0,2021-07-27
P1035,Tropicana Orange Juice 2L,Beverages,Tropicana,ABC Distributors,280.0,2023-12-21
P1039,Johnson's Baby Oil 1L,Baby Care,Johnson's,FastMove Logistics,738.0,2024-06-16
P1054,Coca-Cola Bottle 40g,Beverages,Coca-cola,Retail Connect,403.0,2020-08-29
P1057,Pepsi Bottle 40g,Beverages,Pepsi,,191.0,2023-08-16
