Product_ID,Product_Name,Category,Brand,Unit_Price,Supplier,Launch_Date,Created_At,Last_Updated
P1007,Surf Excel Easy Wash 400g,Household,Surf Excel,495.0,Retail Connect,2020-05-26,2024-01-23,2024-02-10
P1018,Nescafe Coffee 180ml,Beverages,Nescafe,90.0,FreshMart Suppliers,2023-04-13,2024-09-02,2024-08-27
P1044,Horlicks Classic 180ml,Health & Wellness,Horlicks,603.0,Retail Connect,2022-07-19,2023-09-25,2024-04-14
P1050,Haldiram Bhujia 500g,Snacks,Haldiram,303.0,National Wholesale,2021-05-12,2025-01-04,2024-06-24
P1073,Tata Sampann Toor Dal 180ml,Staples,Tata Sampann,811.0,ABC Distributors,2024-02-09,2024-02-29,2024-11-18
P1099,Fortune Sunflower Oil 250ml,Staples,Fortune,486.0,,2024-03-18,2024-08-06,2024-11-08
P1117,Johnson's Baby Oil 100g,Baby Care,Johnson's,262.0,National Wholesale,2022-03-04,2024-12-20,2025-03-16
P1122,Amul Butter 1kg,Dairy,Amul,715.0,Retail Connect,2019-03-26,2025-02-22,2024-12-10
P1131,Nescafe Coffee 80g,Beverages,Nescafe,758.0,National Wholesale,2024-09-15,2024-12-23,2024-05-19
P1134,Surf Excel Easy Wash 250ml,Household,Surf Excel,768.0,National Wholesale,2024-06-28,2025-06-05,2024-03-17
P1150,Coca-Cola Bottle 80g,Beverages,Coca-cola,667.0,FastMove Logistics,2019-06-11,2023-11-13,2025-02-07
P1008,Safal Green Peas 40g,Frozen Foods,Safal,668.0,Retail Connect,2023-01-21,2024-08-14,2024-04-08
P1012,Pepsi Bottle 500g,Beverages,Pepsi,498.0,FreshMart Suppliers,2022-01-10,2024-10-17,2024-12-18
P1020,Vim Dishwash Gel 200g,Household,Vim,325.0,FreshMart Suppliers,2020-10-09,2024-04-09,2024-01-02
P1063,Surf Excel Matic 180ml,Household,Surf Excel,296.0,ABC Distributors,2020-03-20,2024-09-02,2024-08-10
P1082,Sunsilk Shampoo 2L,Personal Care,Sunsilk,450.0,ABC Distributors,2021-04-27,2025-05-02,2024-08-03
P1093,Lay's Magic Masala 250ml,Snacks,Lay's,135.0,Retail Connect,2019-04-16,2023-11-16,2024-10-21
P1119,Tropicana Orange Juice 40g,Beverages,Tropicana,170.0,ABC Distributors,2019-09-02,2023-06-19,2025-02-09
P1126,Lux Soap 500ml,Personal Care,Lux,143.0,FreshMart Suppliers,2024-10-08,2025-04-24,2024-01-01
P1139,Parle Monaco 750g,Snacks,Parle,296.0,National Wholesale,2023-06-17,2024-10-27,2024-02-11
P1023,Colgate Toothpaste 100g,Personal Care,Colgate,139.0,National Wholesale,2022-06-13,2023-09-03,2024-01-30
P1028,Fortune Atta 200g,Staples,Fortune,371.0,ABC Distributors,2021-07-31,2024-08-25,2024-04-22
P1055,Amul Paneer 500ml,Dairy,Amul,840.0,ABC Distributors,2023-01-05,2023-08-04,2024-12-15
P1061,Tata Sampann Toor Dal 500ml,Staples,Tata Sampann,310.0,ABC Distributors,2022-02-17,2023-12-26,2024-11-24
P1086,Johnson's Baby Soap 180ml,Baby Care,Johnson's,571.0,ABC Distributors,2023-06-02,2024-08-29,2024-10-15
P1100,Johnson's Baby Oil 500g,Baby Care,Johnson's,524.0,Prime FMCG Supply,2022-12-24,2025-03-27,2024-05-12
P1103,Johnson's Baby Oil 750g,Baby Care,Johnson's,42.0,ABC Distributors,2022-04-20,2023-08-15,2024-07-26
P1120,Vim Dishwash Gel 2L,Household,Vim,152.0,FreshMart Suppliers,2022-05-30,2024-12-17,2024-07-25
P1129,Johnson's Baby Soap 100g,Baby Care,Johnson's,670.0,Retail Connect,2021-09-07,2024-12-27,2024-03-22
P1004,Safal Green Peas 1kg,Frozen Foods,Safal,484.0,Retail Connect,2022-02-13,2025-04-08,2025-03-21
P1016,Aashirvaad Atta 400g,Staples,Aashirvaad,623.0,FreshMart Suppliers,2023-06-24,2024-01-06,2024-04-22
P1021,Surf Excel Matic 5kg,Household,Surf Excel,133.0,FastMove Logistics,2022-05-07,2025-05-11,2024-11-23
P1049,Safal Green Peas 80g,Frozen Foods,Safal,704.0,ABC Distributors,2020-07-04,2023-09-28,2024-02-29
P1096,Dove Soap 40g,Personal Care,Dove,455.0,FreshMart Suppliers,2020-03-08,2024-03-19,2024-07-04
P1108,Safal Green Peas 200g,Frozen Foods,Safal,223.0,National Wholesale,2021-07-20,2024-01-05,2024-04-01
P1116,Coca-Cola Bottle 500g,Beverages,Coca-cola,27.0,FreshMart Suppliers,2024-01-20,2024-12-06,2024-10-31
P1133,Bingo Mad Angles 750g,Snacks,Bingo,833.0,FreshMart Suppliers,2022-10-24,2025-03-17,2024-09-16
P1143,Colgate Toothpaste 500g,Personal Care,Colgate,275.0,Retail Connect,2023-08-15,2024-08-02,2024-12-15
P1011,Dove Shampoo 340ml,Personal Care,Dove,298.0,FastMove Logistics,2019-10-20,2024-09-15,2024-11-21
